% var.,PAGH,PAGM,PAFM,PAAH
-0.011,946.86,941.48,170.72,162.08
0.0006,943.87,942.02,172.09,161.91
0.0084,944.25,949.89,173.21,161.26
-0.0089,949.7,941.41,170.95,158.63
0.002,947.2,943.29,173.51,161.5
0.0036,946.92,946.65,172.96,160.86
0.004,945.5,950.44,173.05,159.65
-0.0108,946,940.13,170.96,158.28
-0.0051,940.09,935.29,171.64,159.88
-0.0059,935.01,929.75,170.01,158.67
0.0076,933.41,936.86,172.52,158.73
0.0114,937.73,947.54,172.17,156.07
0,948.13,947.55,171.11,153.39
-0.0045,942.77,943.26,170.54,151.89
-0.0095,939.45,934.28,162.87,150.55
0.0034,936.69,937.43,164.21,153.14
0.024,942.74,959.9,167.68,154.23
0.0051,956.25,964.81,168.73,153.28
0.0092,966,973.72,170.87,154.12
-0.0064,975.65,967.47,169.47,153.81
0.0048,967.56,972.08,169.96,154.48
-0.0055,971.76,966.78,168.42,153.48
0.019,972.79,985.19,171.24,155.39
0.0086,980,993.64,172.23,155.3
-0.0013,995,992.31,172.5,155.84
-0.0045,995.3,987.8,171.59,155.9
0.0181,989.04,1005.65,172.74,156.55
0,1003.84,1005.65,172.55,156
0.0022,1009.11,1007.87,173.74,156.99
0.0015,1009.63,1009.35,174.52,159.88
0.0016,1007.44,1011,176.11,160.47
0.0017,1011.05,1012.74,176.03,159.76
-0.0108,1004.75,1001.84,174.56,155.98
0.0032,1007.05,1005.07,174.98,156.25
-0.0194,1005.18,985.54,171.27,156.17
0.003,986.5,988.49,171.8,157.1
0.003,986.27,991.46,170.6,156.41
0,998.47,991.42,170.63,157.41
0.0426,1030.99,1033.67,177.88,163.05
-0.0005,1029.16,1033.13,179.87,166.72
-0.0001,1033,1033.04,180.06,169.04
0.0093,1036.32,1042.6,182.66,166.89
0.0004,1039.99,1042.97,178.92,168.11
0.0067,1042.75,1049.99,178.92,172.5
-0.007,1049.1,1042.68,180.17,174.25
0.0093,1049.65,1052.39,180.25,174.81
0.0056,1050.05,1058.29,179.56,176.24
-0.01,1048,1047.72,179.3,175.88
-0.0034,1043.87,1044.15,178.46,174.67
-0.0028,1040.8,1041.2,178.77,173.97
0.0004,1037.72,1041.64,178.07,171.34
-0.005,1035,1036.41,177.95,169.08
0.0116,1038.75,1048.47,179.59,171.1
-0.012,1049.8,1035.89,179,170.15
-0.0012,1036,1034.66,178.74,169.98
0.0151,1040.04,1050.3,181.86,173.14
0.0015,1051.16,1051.92,180.87,174.96
0.0044,1054.39,1056.52,182.78,174.97
0.0147,1058.57,1072.01,183.03,174.09
-0.0081,1073.99,1063.29,182.42,173.07
-0.0244,1056.18,1037.38,175.13,169.48
-0.0012,1039.94,1036.17,177.18,171.85
-0.0107,1030.41,1025.07,175.1,171.05
-0.0129,1027.8,1011.87,171.47,169.8
0.0076,1010.99,1019.6,172.83,169.64
0.0129,1016.52,1032.72,176.06,169.01
0.0115,1036.07,1044.57,180.14,169.32
0.0046,1051.81,1049.38,179,169.37
0.0025,1051.11,1051.97,179.04,172.67
-0.003,1050,1048.77,176.96,171.7
0.0025,1052.08,1051.39,178.3,172.27
0.0058,1055.49,1057.47,178.39,172.22
0.0137,1063.78,1072,180.18,173.97
0.0122,1076.45,1085.09,180.82,176.42
-0.0049,1083.02,1079.78,179.51,174.54
