% var.,PAGH,PAGM,PAFM,PAAH
-0.0083,1255.9,1245.86,176.26,219.7
0.0151,1255,1264.65,175.9,222.98
-0.0081,1263.4,1254.44,177.64,225.03
-0.018,1252.21,1231.8,175.73,227.63
-0.0166,1222.52,1211.31,171.16,228.36
-0.0101,1209.22,1199.1,167.18,226.87
-0.0126,1198.57,1183.99,162.53,223.1
-0.0054,1172,1177.59,163.04,221.3
-0.0021,1184.2,1175.06,164.18,218.33
0.0127,1171.1,1189.99,165.94,223.85
-0.0155,1182,1171.6,162,221.07
0.009,1179.7,1182.14,161.36,226.41
-0.0035,1188,1177.98,162.32,223.84
-0.0154,1177.77,1159.83,160.58,217.88
0.0063,1162.66,1167.11,160.3,218.24
0.0061,1168.96,1174.27,163.06,218.37
0.0147,1180.67,1191.57,166.02,220.03
-0.0163,1194.92,1172.12,162.93,217.66
0.0063,1159.41,1179.56,165.41,220.79
0.0121,1184.25,1193.89,164.91,222.19
0.0001,1193.69,1194.06,166.95,220.42
0.0111,1200,1207.36,168.84,224.95
-0.0002,1204.09,1207.08,164.46,225.74
0.0012,1213,1208.53,162.44,227.26
-0.0007,1206.67,1207.64,159.33,229.28
0.0032,1212,1211.53,162.43,232.07
-0.0284,1205.03,1177.07,158.85,227.99
-0.0078,1176,1167.83,157.33,224.29
-0.0102,1160,1155.92,157.25,223.77
-0.0093,1151.38,1145.17,157.9,226.87
