number,result
1,663.2867255170382
2,569.9608089275264
3,484.26566622804216
4,406.67942435170954
5,338.31390657431933
6,278.5863100674966
7,227.26595970594428
8,184.04413264926504
9,147.96514619717973
10,118.39730225125682
11,94.4909603076065
12,75.17196367127005
13,59.6077366495045
14,47.25285301905634
15,37.426136082080845
16,29.611202032709716
17,23.39064668699944
18,18.423209515003425
19,14.502174123683883
20,11.424920944732268
21,8.987022487994437
22,7.0673119665774795
23,5.558085276433615
24,4.368751918598392
25,3.442175022233494
26,2.709267516050566
27,2.1336755490590327
28,1.680938846123071
29,1.323267938173307
30,1.0415590121823846
31,0.8205302689977557
32,0.6460238800763819
33,0.5071060588661287
34,0.3978811058569849
35,0.311118255055663
36,0.24302629329840844
37,0.18980601579097553
38,0.14800133459520284
39,0.115290094241657
40,0.0896735563170689
41,0.06958660711994522
42,0.053696921700889876
43,0.04139395154825008
44,0.031927487755925694
45,0.024659989078882522
46,0.01907205610478621
47,0.014822675471422672
48,0.011576560300532354
49,0.009070928453892804
50,0.007106297676313617
51,0.005575272506888433
52,0.004385986005114928
53,0.0034507656102392356
54,0.0027163111053398873
55,0.0021432114859127704
56,0.0016877738125530898
57,0.0013286732941150123
58,0.0010469420669367252
59,0.0008251153217015007
60,0.0006473589544583062
61,0.000506014929417469
62,0.00039503411166957967
63,0.0003082104280947687
64,0.0002405732735745136
65,0.00018787803586139943
66,0.0001466091338748315
67,0.00011413849924672924
68,8.903962582410269e-05
69,6.952957530065797e-05
70,5.410223471152601e-05
71,4.2139823513984196e-05
72,3.273528818967883e-05
73,2.534940594514879e-05
74,1.959737823476836e-05
75,1.514149812082187e-05
76,1.164431702684582e-05
77,8.961490918709422e-06
78,6.892837493468686e-06
79,5.290306235306748e-06
80,4.061813959500686e-06
81,3.1113010965519376e-06
82,2.387875698555186e-06
83,1.8386613662581906e-06
84,1.4132138050104031e-06
85,1.087327486996008e-06
86,8.372239595170368e-07
87,6.475145705916292e-07
88,4.996373005534856e-07
89,3.8581485992996603e-07
90,2.9702296173169897e-07
91,2.2791768969056166e-07
92,1.7430941072669202e-07
93,1.3232320117749102e-07
94,1.0056578870973588e-07
95,7.647431140793144e-08
96,5.82306048626029e-08
97,4.4103700053213163e-08
98,3.333845410941864e-08
99,2.5149398097177364e-08
100,1.896823639652249e-08
101,1.4298540531626454e-08
102,1.0803362262991983e-08
103,8.168332204359163e-09
104,6.0913613404796946e-09
105,4.508390747208742e-09
106,3.3511122836877377e-09
107,2.4940931877605813e-09
108,1.877885610800749e-09
109,1.4150166515165417e-09
110,1.065418058550589e-09
111,8.011200648414264e-10
112,6.042899412163083e-10
113,4.5671674796518134e-10
114,3.450258427646237e-10
115,2.61092310746137e-10
116,1.9724585431279118e-10
117,1.4927949046165444e-10
118,1.1312659014386524e-10
119,8.589278874255277e-11
120,6.513379010452191e-11
121,4.932584635995216e-11
122,3.7347073953367005e-11
123,2.8337434345123385e-11
124,2.1527488967696012e-11
125,1.6417421131351128e-11
126,1.253338842228876e-11
127,9.57408307732277e-12
128,7.291515272624549e-12
129,5.533207683594609e-12
130,4.196617423184772e-12
131,3.1818569423519226e-12
132,2.4051569689531798e-12
133,1.811480708370415e-12
134,1.3646276785341196e-12
135,1.027029646885972e-12
136,7.729827957837268e-13
137,5.806563094395151e-13
138,4.3702806415350027e-13
139,3.293309739154066e-13
140,2.4859354576002827e-13
141,1.867680343059012e-13
142,1.3978312272840335e-13
143,1.0437802544423845e-13
144,7.783513367267582e-14
145,5.881765469977882e-14
146,4.457673485492437e-14
147,3.361666831549341e-14
148,2.5245361631186516e-14
149,1.8889186654068546e-14
150,1.4159473050060906e-14
151,1.0616661419619851e-14
152,7.973655282418903e-15
153,5.97272475346202e-15
154,4.462764204898822e-15
155,3.334171178010938e-15
156,2.495729600982282e-15
157,1.8660733119671672e-15
158,1.3944786851036983e-15
159,1.0409867055676976e-15
160,7.790335179989537e-16
161,5.818382330334692e-16
162,4.340590908244788e-16
163,3.229425243926211e-16
